ticker,type,strike,market,bs_price,mc_price,mc_se,bs_error,iv,delta,gamma,theta,vega
AAPL,call,260.0,0.03,0.0323,0.0328,0.001782,0.0023,0.0938,0.0595,0.093485,-0.077,0.016
AAPL,call,257.5,0.94,0.9616,0.9608,0.011626,0.0216,0.125,0.6213,0.22533,-0.3429,0.0514
AAPL,call,255.0,3.43,3.6756,3.6725,0.035761,0.2456,0.3315,0.7537,0.070423,-0.7319,0.0426
AAPL,call,210.0,46.81,48.178,48.1363,0.256022,1.368,1.9121,0.9825,0.001677,-0.5871,0.0058
AAPL,call,225.0,32.91,33.5544,33.5244,0.217915,0.6444,1.6797,0.9453,0.00488,-1.2841,0.0149
AAPL,put,242.5,0.03,0.0097,0.011,0.00196,0.0203,0.4609,-0.0049,0.002283,-0.0441,0.0019
AAPL,call,205.0,52.9,53.0783,53.039,0.251814,0.1783,1.8672,0.9919,0.000883,-0.3085,0.003
AAPL,call,230.0,28.06,28.43,28.4044,0.179312,0.37,1.3809,0.9481,0.005701,-1.0206,0.0144
AAPL,put,262.5,4.15,4.6162,4.6249,0.030295,0.4662,0.2422,-0.912,0.048844,-0.2284,0.0216
AAPL,call,250.0,7.86,8.4554,8.4477,0.064062,0.5954,0.5273,0.8764,0.028684,-0.7571,0.0276
AAPL,put,280.0,18.15,22.037,22.0595,0.096409,3.887,0.7227,-0.9839,0.004116,-0.1582,0.0054
AAPL,call,235.0,22.86,23.0817,23.061,0.113238,0.2217,0.8477,0.9833,0.003621,-0.2688,0.0056
AAPL,put,235.0,0.02,0.0146,0.0165,0.002894,0.0054,0.6953,-0.0049,0.001502,-0.066,0.0019
AAPL,call,252.5,5.87,6.028,6.0221,0.050153,0.158,0.4292,0.8347,0.042875,-0.7488,0.0336
AAPL,call,247.5,10.75,10.7318,10.7216,0.06859,0.0182,0.5371,0.9324,0.018017,-0.5054,0.0176
AAPL,put,265.0,7.42,7.4697,7.4882,0.056834,0.0497,0.4805,-0.853,0.03545,-0.7149,0.0311
AAPL,put,237.5,0.03,0.0053,0.006,0.001556,0.0247,0.5625,-0.0023,0.000961,-0.0276,0.001
AAPL,put,275.0,17.0,17.0133,17.0304,0.072157,0.0133,0.5391,-0.9876,0.004406,-0.0795,0.0043
AAPL,put,205.0,0.06,0.0246,0.0281,0.005324,0.0354,1.6563,-0.0035,0.00047,-0.1175,0.0014
AAPL,put,195.0,0.06,0.0197,0.0225,0.00497,0.0403,1.9375,-0.0025,0.000293,-0.1001,0.001
